Call_ID,Timestamp,Agent_ID,Team,Supervisor_ID,IVR_Path,Duration,Resolved,Transferred,Customer_Utterance,Customer_ID,Sentiment,Escalation,Bot_Failure_Reason
C0001,2025-04-08 15:18:09.035647,A120,Team_1,S10,Start>Account>Agent,310,True,True,What is this extra charge?,CUST2679,neutral,True,
C0002,2025-04-11 15:29:06.791514,A101,Team_1,S10,Start>TechSupport,298,True,False,My service is down,CUST4257,neutral,False,no_input
C0003,2025-04-09 16:16:40.291366,A114,Team_5,S12,Start>Billing>Agent,837,True,True,How do I change my plan?,CUST6574,positive,True,
C0004,2025-04-08 18:01:17.665993,A103,Team_1,S13,Start>TechSupport>Agent,427,False,True,Where is my refund?,CUST5333,negative,False,
C0005,2025-04-10 01:03:08.303419,A129,Team_4,S10,Start>Agent,360,False,True,Where is my refund?,CUST4150,neutral,True,
C0006,2025-04-04 07:10:58.955843,A124,Team_3,S10,Start>TechSupport,163,False,False,I can't log in,CUST8428,neutral,False,no_input
C0007,2025-04-02 13:11:35.227826,A111,Team_3,S11,Start>Account>Agent,778,True,True,Where is my refund?,CUST3803,neutral,True,
C0008,2025-04-28 20:36:10.255140,A114,Team_4,S12,Start>Agent,284,False,True,I need help with my bill,CUST4752,negative,False,
C0009,2025-04-23 18:40:46.434052,A108,Team_1,S11,Start>Account,277,False,False,How do I change my plan?,CUST8517,positive,True,no_input
C0010,2025-04-15 18:57:43.356391,A123,Team_5,S14,Start>Account>Agent,824,False,True,Where is my refund?,CUST7543,positive,True,
C0011,2025-04-30 04:40:14.909504,A102,Team_1,S10,Start>Billing,702,True,False,How do I change my plan?,CUST2040,positive,False,
C0012,2025-04-24 21:25:23.437140,A108,Team_5,S10,Start>TechSupport>Agent,758,False,True,I want to talk to a human,CUST2827,positive,True,
C0013,2025-04-11 05:00:16.201133,A100,Team_3,S14,Start>Billing,579,True,False,I can't log in,CUST9317,neutral,True,complex_request
C0014,2025-04-15 10:33:02.898728,A124,Team_2,S14,Start>Agent,60,False,True,Can I cancel my service?,CUST1319,positive,False,
